status,run_id,question_id,agents_evaluated,user_inputs,question_metadata,interaction_datetime,session_id,base_url,ADK_USER_ID,USER,reference_data
"{""boolean"": ""success""}",1,sql_explorer-exact-1,"[""sql_explorer""]","[""What are the top 3 busiest locations in the last 6 months?""]","{""tenant"": ""superior_uniform_eudora_ar"", ""tier"": ""exact"", ""complexity"": ""levelG""}",2025-11-12T16:34:23.250977,session_6d6d5e6f-9d15-4e2d-8119-c128ffa63657,http://localhost:8080,eval_user,danielazamora,"{""sql_explorer:reference_sql"": ""select location_code , COUNT(DISTINCT pick_task_code) AS activePickOrders FROM `gold_pick` where location_code != '' and  date(event_timestamp_utc) >= date_trunc(date_sub(current_date(), INTERVAL 6 month), month) and  date(event_timestamp_utc) < date_trunc(current_date(), month) group by location_code order by COUNT(DISTINCT pick_task_code) desc limit 3;"", ""reference_trajectory"": [""dematic_chat_root_agent_turn"", ""sql_generation_agent"", ""sql_validation_agent""], ""sql_explorer:reference_bq_raw_response"": ""[{\""location_code\"":\""M11-GTP-05F2\"",\""activePickOrders\"":4962},{\""location_code\"":\""M11-GTP-05F5\"",\""activePickOrders\"":4782},{\""location_code\"":\""M11-GTP-05F1\"",\""activePickOrders\"":4471}]""}"
"{""boolean"": ""success""}",2,sql_explorer-exact-1,"[""sql_explorer""]","[""What are the top 3 busiest locations in the last 6 months?""]","{""tenant"": ""superior_uniform_eudora_ar"", ""tier"": ""exact"", ""complexity"": ""levelG""}",2025-11-12T16:34:23.257702,session_d1147a9b-012a-431f-9ce2-b045ffe367eb,http://localhost:8080,eval_user,danielazamora,"{""sql_explorer:reference_sql"": ""select location_code , COUNT(DISTINCT pick_task_code) AS activePickOrders FROM `gold_pick` where location_code != '' and  date(event_timestamp_utc) >= date_trunc(date_sub(current_date(), INTERVAL 6 month), month) and  date(event_timestamp_utc) < date_trunc(current_date(), month) group by location_code order by COUNT(DISTINCT pick_task_code) desc limit 3;"", ""reference_trajectory"": [""dematic_chat_root_agent_turn"", ""sql_generation_agent"", ""sql_validation_agent""], ""sql_explorer:reference_bq_raw_response"": ""[{\""location_code\"":\""M11-GTP-05F2\"",\""activePickOrders\"":4962},{\""location_code\"":\""M11-GTP-05F5\"",\""activePickOrders\"":4782},{\""location_code\"":\""M11-GTP-05F1\"",\""activePickOrders\"":4471}]""}"
"{""boolean"": ""success""}",1,sql_explorer-level1-3,"[""sql_explorer""]","[""Show me the top 5 operators by number of picks last month?""]","{""tenant"": ""superior_uniform_eudora_ar"", ""tier"": ""complex"", ""complexity"": ""level1""}",2025-11-12T16:34:23.276458,session_ea4ab7c2-95ee-45b3-b839-25a9bcb481a0,http://localhost:8080,eval_user,danielazamora,"{""sql_explorer:reference_sql"": ""SELECT operator_name, COUNT(*) AS pick_count FROM `gold_pick` WHERE date(event_timestamp_utc) >= date_trunc(date_sub(current_date(), INTERVAL 1 month), month) AND date(event_timestamp_utc) < date_trunc(current_date(), month) GROUP BY operator_name ORDER BY pick_count DESC LIMIT 5;"", ""reference_trajectory"": [""dematic_chat_root_agent_turn"", ""sql_generation_agent"", ""sql_validation_agent""], ""sql_explorer:reference_bq_raw_response"": ""[{\""operator_name\"":\""ssmith\"",\""pick_count\"":38924},{\""operator_name\"":\""dhill\"",\""pick_count\"":33650},{\""operator_name\"":\""BCARTER\"",\""pick_count\"":32735},{\""operator_name\"":\""tharris\"",\""pick_count\"":30915},{\""operator_name\"":\""kevans\"",\""pick_count\"":30537}]""}"
"{""boolean"": ""success""}",2,sql_explorer-level1-3,"[""sql_explorer""]","[""Show me the top 5 operators by number of picks last month?""]","{""tenant"": ""superior_uniform_eudora_ar"", ""tier"": ""complex"", ""complexity"": ""level1""}",2025-11-12T16:34:23.281643,session_17be86fd-b75b-4f15-b6c0-837c5913011b,http://localhost:8080,eval_user,danielazamora,"{""sql_explorer:reference_sql"": ""SELECT operator_name, COUNT(*) AS pick_count FROM `gold_pick` WHERE date(event_timestamp_utc) >= date_trunc(date_sub(current_date(), INTERVAL 1 month), month) AND date(event_timestamp_utc) < date_trunc(current_date(), month) GROUP BY operator_name ORDER BY pick_count DESC LIMIT 5;"", ""reference_trajectory"": [""dematic_chat_root_agent_turn"", ""sql_generation_agent"", ""sql_validation_agent""], ""sql_explorer:reference_bq_raw_response"": ""[{\""operator_name\"":\""ssmith\"",\""pick_count\"":38924},{\""operator_name\"":\""dhill\"",\""pick_count\"":33650},{\""operator_name\"":\""BCARTER\"",\""pick_count\"":32735},{\""operator_name\"":\""tharris\"",\""pick_count\"":30915},{\""operator_name\"":\""kevans\"",\""pick_count\"":30537}]""}"
"{""boolean"": ""success""}",1,sql_explorer-level1-var3,"[""sql_explorer""]","[""Show me the 20 oldest customer orders""]","{""tenant"": ""superior_uniform_eudora_ar"", ""tier"": ""complex"", ""complexity"": ""level1""}",2025-11-12T16:34:23.289633,session_0908d2e1-24a1-4c2a-a2a8-44915f03fd30,http://localhost:8080,eval_user,danielazamora,"{""sql_explorer:reference_sql"": ""SELECT order_code, edit_date_timestamp_utc, order_type FROM `gold_wms_customer_order` WHERE edit_date_timestamp_utc > '1970-01-01' ORDER BY edit_date_timestamp_utc ASC LIMIT 20;"", ""reference_trajectory"": [""dematic_chat_root_agent_turn"", ""sql_generation_agent"", ""sql_validation_agent""], ""sql_explorer:reference_bq_raw_response"": ""[{\""order_code\"":\""0007288848\"",\""edit_date_timestamp_utc\"":1704196488000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288847\"",\""edit_date_timestamp_utc\"":1704196488000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007287975\"",\""edit_date_timestamp_utc\"":1704196584000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007287968\"",\""edit_date_timestamp_utc\"":1704196632000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007287966\"",\""edit_date_timestamp_utc\"":1704196703000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288770\"",\""edit_date_timestamp_utc\"":1704196800000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007287886\"",\""edit_date_timestamp_utc\"":1704196861000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007286404\"",\""edit_date_timestamp_utc\"":1704196924000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007286428\"",\""edit_date_timestamp_utc\"":1704196925000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288812\"",\""edit_date_timestamp_utc\"":1704196963000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288781\"",\""edit_date_timestamp_utc\"":1704196998000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007285445\"",\""edit_date_timestamp_utc\"":1704197104000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288275\"",\""edit_date_timestamp_utc\"":1704197153000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288840\"",\""edit_date_timestamp_utc\"":1704197186000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007287219\"",\""edit_date_timestamp_utc\"":1704197186000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007287219\"",\""edit_date_timestamp_utc\"":1704197218000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288545\"",\""edit_date_timestamp_utc\"":1704197230000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288547\"",\""edit_date_timestamp_utc\"":1704197230000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288546\"",\""edit_date_timestamp_utc\"":1704197230000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007286404\"",\""edit_date_timestamp_utc\"":1704197235000,\""order_type\"":\""TA\""}]""}"
"{""boolean"": ""success""}",2,sql_explorer-level1-var3,"[""sql_explorer""]","[""Show me the 20 oldest customer orders""]","{""tenant"": ""superior_uniform_eudora_ar"", ""tier"": ""complex"", ""complexity"": ""level1""}",2025-11-12T16:34:23.301801,session_37c063f8-42aa-4beb-9aa8-6acfe99c62b1,http://localhost:8080,eval_user,danielazamora,"{""sql_explorer:reference_sql"": ""SELECT order_code, edit_date_timestamp_utc, order_type FROM `gold_wms_customer_order` WHERE edit_date_timestamp_utc > '1970-01-01' ORDER BY edit_date_timestamp_utc ASC LIMIT 20;"", ""reference_trajectory"": [""dematic_chat_root_agent_turn"", ""sql_generation_agent"", ""sql_validation_agent""], ""sql_explorer:reference_bq_raw_response"": ""[{\""order_code\"":\""0007288848\"",\""edit_date_timestamp_utc\"":1704196488000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288847\"",\""edit_date_timestamp_utc\"":1704196488000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007287975\"",\""edit_date_timestamp_utc\"":1704196584000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007287968\"",\""edit_date_timestamp_utc\"":1704196632000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007287966\"",\""edit_date_timestamp_utc\"":1704196703000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288770\"",\""edit_date_timestamp_utc\"":1704196800000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007287886\"",\""edit_date_timestamp_utc\"":1704196861000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007286404\"",\""edit_date_timestamp_utc\"":1704196924000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007286428\"",\""edit_date_timestamp_utc\"":1704196925000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288812\"",\""edit_date_timestamp_utc\"":1704196963000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288781\"",\""edit_date_timestamp_utc\"":1704196998000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007285445\"",\""edit_date_timestamp_utc\"":1704197104000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288275\"",\""edit_date_timestamp_utc\"":1704197153000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288840\"",\""edit_date_timestamp_utc\"":1704197186000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007287219\"",\""edit_date_timestamp_utc\"":1704197186000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007287219\"",\""edit_date_timestamp_utc\"":1704197218000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288545\"",\""edit_date_timestamp_utc\"":1704197230000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288547\"",\""edit_date_timestamp_utc\"":1704197230000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007288546\"",\""edit_date_timestamp_utc\"":1704197230000,\""order_type\"":\""TA\""},{\""order_code\"":\""0007286404\"",\""edit_date_timestamp_utc\"":1704197235000,\""order_type\"":\""TA\""}]""}"
"{""boolean"": ""success""}",1,sql_explorer-level2-1,"[""sql_explorer""]","[""How many picks happened on September 18, 2025?""]","{""tenant"": ""superior_uniform_eudora_ar"", ""tier"": ""complex"", ""complexity"": ""level2""}",2025-11-12T16:34:23.309630,session_28e16840-1d19-4f89-bbf4-16af61511787,http://localhost:8080,eval_user,danielazamora,"{""sql_explorer:reference_sql"": ""SELECT COUNT(*) AS picks_count FROM `gold_pick` WHERE DATE(event_timestamp_utc) = '2025-09-18';"", ""reference_trajectory"": [""dematic_chat_root_agent_turn"", ""sql_generation_agent"", ""sql_validation_agent""], ""sql_explorer:reference_bq_raw_response"": ""[{\""picks_count\"":17887}]""}"
"{""boolean"": ""success""}",2,sql_explorer-level2-1,"[""sql_explorer""]","[""How many picks happened on September 18, 2025?""]","{""tenant"": ""superior_uniform_eudora_ar"", ""tier"": ""complex"", ""complexity"": ""level2""}",2025-11-12T16:34:23.309697,session_9addd5d1-edfa-456b-b2a1-d1e58aa5c35b,http://localhost:8080,eval_user,danielazamora,"{""sql_explorer:reference_sql"": ""SELECT COUNT(*) AS picks_count FROM `gold_pick` WHERE DATE(event_timestamp_utc) = '2025-09-18';"", ""reference_trajectory"": [""dematic_chat_root_agent_turn"", ""sql_generation_agent"", ""sql_validation_agent""], ""sql_explorer:reference_bq_raw_response"": ""[{\""picks_count\"":17887}]""}"
